section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LEC001, COMP SCI 220:LAB312",LEC001,22,Engineering: Biomedical,,,53 703,,,,,,,,
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",,,,,,,,,,,,,,
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",,18,Engineering: Industrial,,,53715,,,,,,,,
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",,,,,,,,,,,,,,
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",,,,,,,,,,,,,,
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,18,Engineering: Other,Engineering: Computer,,,,,,,,,,
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC001,,,,,,,,,,,,,
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC004,18,Data Science,,,53715,,,Yes,pineapple,cat,Yes,,
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,18,Data Science,,,53706,35.4 degrees north,119.11 degrees west,Yes,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC001,18,Mathematics/AMEP,,,53706-1406,44,-93,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,21,Engineering: Other,,,53703,24.713552,46.675297,No,none (just cheese),cat,Yes,night owl,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,19,Data Science,,,53705,24.6806,46.57936,Yes,pineapple,cat,No,early bird,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,24,Other (please provide details below).,Economics,Computer Science,53703,43,-89,Maybe,pineapple,cat,Yes,early bird,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Data Science,,,53706,36.102371,-115.174553,Yes,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,22,Other (please provide details below).,psychology,,53703,31.78,119.95,No,mushroom,cat,No,night owl,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",,20,Data Science,data science,none,53705,37.8,112.5,Yes,pepperoni,cat,Yes,night owl,Yes
COMP SCI 319:LEC004,LEC004,24,Science: Biology/Life,,,53703,46.872131,-113.994019,No,pepperoni,dog,Yes,early bird,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC001,17,Engineering: Mechanical,,,53706,46.6242° N,8.0414° E,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,19,Engineering: Mechanical,,,53726,0,0,No,none (just cheese),dog,Yes,early bird,No
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,19,Engineering: Mechanical,,,57303,41.878113,-87.629799,Maybe,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB312",LEC001,,Mathematics/AMEP,,choose fromEconomics/Statistic/Data Science,53706,31.230391,121.473701,Yes,basil/spinach,dog,No,no preference,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,19,Business: Other,N/A,Data Science,53558,40.712776,-74.005974,Yes,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LAB312, COMP SCI 220:LEC001",LEC001,20,Other (please provide details below).,Economics with a Math empasis,Data Science,53703,48.86,2.3522,Maybe,pepperoni,dog,No,early bird,Yes
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,19,Engineering: Mechanical,N/A,N/A,53703,24.7,46.7,Maybe,mushroom,dog,Yes,early bird,Maybe
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC005,18,Computer Science,,,53703,37.338207,-121.88633,No,green pepper,dog,Yes,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,19,Engineering: Mechanical,,,53558,43.073051,-89.40123,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,20,Engineering: Mechanical,,,53715,38.9072° N,-77.0369° W,Maybe,Other,cat,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,20,Data Science,,Mechanical Engineering,53703,,37.77,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,21,Science: Other,Political Science,Environmental Science,53703,31.768318,35.213711,No,pepperoni,dog,No,no preference,Maybe
